route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url,agency_id,route_code,line_id,alt_id,long_name,description,pdf_file_url,pdf_file_link,iconography_url,route_code_padded,terminal_1,arterials,terminal_2,description_0,description_1,display_order,travel_direction_0,travel_direction_1,is_active
158-13172,158,Metro Local Line,CHATSWORTH STA-SHERMAN OAKS VIA DEVONSHIRE-WOODMAN,bus,E16710,,,LACMTA,158,158,,,Chatsworth Station - Sherman Oaks via Devonshire-Woodman,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17210903/158_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-158/attachment/158_tt_10-23-22/,,158,Chatsworth Station,"Devonshire, Woodman",Sherman Oaks,Chatsworth Station to Sherman Oaks,Sherman Oaks to Chatsworth Station,47,Eastbound,Westbound,true
161-13172,161,Metro Local Line,THOUSAND OAKS -AGOURA HILLS -CALABASAS -WARNER CTR,bus,E16710,,,LACMTA,161,161,,,Thousand Oaks - Agoura Hills - Calbasas - Warner Center,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17211010/161_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-161/attachment/161_tt_10-23-22/,,161,Thousand Oaks,"Westlake Village, Agoura Hills, Calabasas",Canoga Station,Thousand Oaks to Canoga Station,Canoga Station to Thousand Oaks,48,Eastbound,Westbound,true
16-13172,16,Metro Local Line,DOWNTOWN LA - WEST HOLLYWOOD VIA WEST 3RD ST,bus,E16710,,,LACMTA,16,16,,,Downtown LA - West Hollywood via West 3rd St,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17201912/016_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-016/attachment/016_tt_10-23-22/,,16,West Hollywood,West 3rd St,Downtown LA,West Hollywood to Downtown LA,Downtown LA to West Hollywood,4,Eastbound,Westbound,true
162-13172,162,Metro Local Line,WOODLAND HILLS - N HOLLYWOOD STA VIA SHERMAN WAY,bus,E16710,,,LACMTA,162,162,,,Woodland Hills - West Hills - North Hollywood via Sherman Way-Vineland Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08184612/162_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-162/attachment/162_tt_12-11-22/,,162,Woodland Hills,"Sherman Wy, Vineland Av",North Hollywood,Woodland Hills to North Hollywood,North Hollywood to Woodland Hills,49,Eastbound,Westbound,true
164-13172,164,Metro Local Line,WEST HILLS - BURBANK VIA VICTORY BL,bus,E16710,,,LACMTA,164,164,,,West Hills - Burbank via Victory Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08184721/164_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-164/attachment/164_tt_12-11-22/,,164,West Hills,Victory Bl,Burbank,West Hills to Burbank,Burbank to West Hills,50,Eastbound,Westbound,true
165-13172,165,Metro Local Line,WEST HILLS - BURBANK VIA VANOWEN ST,bus,E16710,,,LACMTA,165,165,,,West Hills - Burbank via Vanowen St,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17211143/165_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-165/attachment/165_tt_10-23-22/,,165,West Hills,Vanowen St,Burbank,West Hills to Burbank,Burbank to West Hills,51,Eastbound,Westbound,true
166-13172,166,Metro Local Line,CHATSWORTH STA -SUN VALLEY VIA NORDHOFF-OSBORNE ST,bus,E16710,,,LACMTA,166,166,,,Canoga Av - Sun Valley via Nordhoff St-Osborne St,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08184929/166_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-166/attachment/166_tt_12-11-22/,,166,Chatsworth,"Nordhoff St, Osborne St",Sun Valley,Chatsworth to Sun Valley,Sun Valley to Chatsworth,52,Eastbound,Westbound,true
167-13172,167,Metro Local Line,CHATSWORTH STA-STUDIO CTY-CSUN VIA PLUMMR-CLDWT CN,bus,E16710,,,LACMTA,167,167,,,Chatsworth Station - Studio City via Plummer-Coldwater Canyon,https://cdn.beta.metro.net/wp-content/uploads/2022/06/23140349/167_TT_06-26-22.pdf,https://www.metro.net/line-override/22-06-line-167/attachment/167_tt_06-26-22/,,167,Chatsworth Station,"Plummer, Coldwater Canyon",Studio City,Chatsworth Station to Studio City,Studio City to Chatsworth Station,53,Eastbound,Westbound,true
169-13172,169,Metro Local Line,WARNER CTR-BURBANK AIRPT VIA VALLEY CIR-SATICOY ST,bus,E16710,,,LACMTA,169,169,,,Warner Center - Burbank Airport via Valley Circle-Saticoy St,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17211447/169_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-169/attachment/169_tt_10-23-22/,,169,Warner Center,"Valley Circle, Saticoy St",Burbank Airport,Warner Center to Burbank Airport,Burbank Airport to Warner Center,54,Eastbound,Westbound,true
177-13172,177,Metro Local Line,JPL - PASADENA,bus,E16710,,,LACMTA,177,177,,,JPL - Pasadena (Caltech),https://cdn.beta.metro.net/wp-content/uploads/2022/12/08185156/177_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-177/attachment/177_tt_12-11-22/,,177,Pasadena (Caltech),"I-210, Del Mar Bl",JPL,Pasadena (Caltech) to JPL,JPL to Pasadena (Caltech),55,Northbound,Southbound,true
179-13172,179,Metro Local Line,ROSE HILL TC - ARCADIA L LINE STA  VIA HUNTINGTON,bus,E16710,,,LACMTA,179,179,,,Rose Hill Transit Center - Arcadia via Huntington Dr,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08185348/179_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-179/attachment/179_tt_12-11-22/,,179,Rose Hill Transit Center,Huntington Dr,Arcadia,Rose Hill Transit Center to Arcadia,Arcadia to Rose Hill Transit Center,56,Eastbound,Westbound,true
180-13172,180,Metro Local Line,HOLLYWOOD-GLENDALE-PASADENA VIA LOS FELIZ-COLORADO,bus,E16710,,,LACMTA,180,180,,,Hollywood - Glendale - Pasadena via Los Feliz-Colorado,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08185504/180_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-180/attachment/180_tt_12-11-22/,,180,Hollywood,"Los Feliz Bl, Colorado Bl",Pasadena,Hollywood to Pasadena,Pasadena to Hollywood,57,Eastbound,Westbound,true
18-13172,18,Metro Local Line,WILSHIRE WESTERN STA-MONTEBELLO VIA 6TH - WHITTIER,bus,E16710,,,LACMTA,18,18,,,Wilshire Western Station - Montebello Metrolink Station via 6th St-Whittier Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17202034/018-TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-018/attachment/018-tt_10-23-22/,,18,Wilshire/Western Station,"6th St, Whittier Bl",Montebello Metrolink Station,Wilshire/Western Station to Montebello Metrolink Station,Montebello Metrolink Station to Wilshire/Western Station,5,Eastbound,Westbound,true
182-13172,182,Metro Local Line,ROSE HILL TC - E HOLLYWOOD VIA FIGUEROA ST-YORK BL,bus,E16710,,,LACMTA,182,182,,,NorthEast LA - East Hollywood,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08185837/182_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-182/attachment/182_tt_12-11-22/,,182,East Hollywood,"Fletcher Dr, York Bl",Rose Hill,East Hollywood to Rose Hill,Rose Hill to East Hollywood,58,Eastbound,Westbound,true
20-13172,20,Metro Local Line,DOWNTOWN LA - SANTA MONICA VIA WILSHIRE BL,bus,E16710,,,LACMTA,20,20,,,Downtown LA - Westwood/Santa Monica via Wilshire Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08161900/020_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-020/attachment/020_tt_12-11-22/,,20,Westwood/Santa Monica,Wilshire Bl,Downtown LA,Westwood/Santa Monica to Downtown LA,Downtown LA to Westwood/Santa Monica,6,Eastbound,Westbound,true
202-13172,202,Metro Local Line,WILLOWBROOK STA - DEL AMO STA VIA WILLOWBROOK AV,bus,E16710,,,LACMTA,202,202,,,Willowbrook/Rosa Parks Station - Compton - Del Amo Station,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08185933/202_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-202/attachment/202_tt_12-11-22/,,202,Del Amo Station,Willowbrook Av,Willowbrook,Del Amo Station to Willowbrook,Willowbrook to Del Amo Station,59,Northbound,Southbound,true
204-13172,204,Metro Local Line,HOLLYWOOD -ATHENS VIA VERMONT AV,bus,E16710,,,LACMTA,204,204,,,Hollywood - Athens via Vermont Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08190025/204_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-204/attachment/204_tt_12-11-22/,,204,Vermont/Athens Station,Vermont Av,Hollywood,Vermont/Athens Station to Hollywood,Hollywood to Vermont/Athens Station,60,Northbound,Southbound,true
205-13172,205,Metro Local Line,WILLOWBROOK STA-SAN PEDRO VIA WILMGTN-VERMONT,bus,E16710,,,LACMTA,205,205,,,Willowbrook/Rosa Parks Station - San Pedro via Wilmington Av-Vermont Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/06133106/205_TT_01-08-23.pdf,https://www.metro.net/line-override/22-12-line-205/attachment/205_tt_01-08-23/,,205,San Pedro,"Wilmington Av, Vermont Av",Willowbrook/Rosa Parks Station,San Pedro to Willowbrook/Rosa Parks Station,Willowbrook/Rosa Parks Station to San Pedro,61,Northbound,Southbound,true
206-13172,206,Metro Local Line,HOLLYWOOD - ATHENS VIA NORMANDIE AV,bus,E16710,,,LACMTA,206,206,,,Hollywood - Athens via Normandie Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08190138/206_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-205/attachment/206_tt_12-11-22/,,206,Vermont/Athens Station,Normandie Av,Hollywood,Vermont/Athens Station to Hollywood,Hollywood to Vermont/Athens Station,62,Northbound,Southbound,true
207-13172,207,Metro Local Line,HOLLYWOOD - CRENSHAW STA VIA WESTERN AV,bus,E16710,,,LACMTA,207,207,,,Hollywood - Athens via Western Av,https://cdn.beta.metro.net/wp-content/uploads/2022/10/18105643/207_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-207/attachment/207_tt_10-23-22/,,207,Crenshaw Station,Western Av,Hollywood,Crenshaw Station to Hollywood,Hollywood to Crenshaw Station,63,Northbound,Southbound,true
209-13172,209,Metro Local Line,EXPO/CRENSHAW STA- GARDENA  VIA ARLNGTN - VAN NESS,bus,E16710,,,LACMTA,209,209,,,Expo/Crenshaw Station - Crenshaw C Line (Green) Station via Van Ness Av-Arlington Av,https://cdn.beta.metro.net/wp-content/uploads/2021/12/17153017/209_TT_12-19-21.pdf,https://www.metro.net/line-override/21-12-line-209/attachment/209_tt_12-19-21/,,209,Crenshaw C Line (Green) Station,"Van Ness Av, Arlington Av",Expo/Crenshaw Station,Crenshaw C Line (Green) Station to Expo/Crenshaw Station,Expo/Crenshaw Station to Crenshaw C Line (Green) Station,64,Northbound,Southbound,true
210-13172,210,Metro Local Line,HLLYWD VINE STA - SO BAY GALERIA VIA CRENSHAW BL,bus,E16710,,,LACMTA,210,210,,,Hollywood/Vine Station - South Bay Galleria via Vine St-Wilshire/Western Station-Crenshaw Bl,https://cdn.beta.metro.net/wp-content/uploads/2023/02/21093621/210_TT_02-19-23.pdf,https://www.metro.net/line-override/22-10-line-210/attachment/210_tt_02-19-23/,,210,South Bay/Redondo Beach Transit Center,Crenshaw Bl,Hollywood/Vine Station,South Bay/Redondo Beach Transit Center to Hollywood/Vine Station,Hollywood/Vine Station to South Bay/Redondo Beach Transit Center,65,Northbound,Southbound,true
211-13172,211/215,Metro Local Line,INGLEWOOD-SOUTH BAY GALLERIA VIA PRAIRIE-INGLEWOOD,bus,E16710,,,LACMTA,211,211,211/215,,Inglewood-South Bay Galleria via Prairie Av-Inglewood Av,https://cdn.beta.metro.net/wp-content/uploads/2023/02/21093622/211-215_TT_02-19-23.pdf,https://www.metro.net/line-override/22-10-line-211-215/attachment/211-215_tt_02-19-23/,,211,Redondo Beach,Prairie Av,Inglewood,Redondo Beach to Inglewood,Inglewood to Redondo Beach,66,Northbound,Southbound,true
211-13172,211/215,Metro Local Line,INGLEWOOD-SOUTH BAY GALLERIA VIA PRAIRIE-INGLEWOOD,bus,E16710,,,LACMTA,215,215,211/215,,Inglewood-South Bay Galleria via Prairie Av-Inglewood Av,https://cdn.beta.metro.net/wp-content/uploads/2023/02/21093622/211-215_TT_02-19-23.pdf,https://www.metro.net/line-override/22-10-line-211-215/attachment/211-215_tt_02-19-23/,,215,Redondo Beach,Inglewood Av,Inglewood,Redondo Beach to Inglewood,Inglewood to Redondo Beach,68,,,true
212-13172,212,Metro Local Line,HLLYWD/HGHLND STA - HWTHRNE/LENNOX STA VIA LA BREA,bus,E16710,,,LACMTA,212,212,,,Hollywood/Vine Station - Hawthorne/Lennox Station via La Brea Av ,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08190610/212_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-212/attachment/212_tt_12-11-22/,,212,Hawthorne/Lennox Station,La Brea Av,Hollywood/Highland Station,Hawthorne/Lennox Station to Hollywood/Highland Station,Hollywood/Highland Station to Hawthorne/Lennox Station,67,Northbound,Southbound,true
2-13172,2,Metro Local Line,WESTWOOD - EXPOSITION PARK VIA SUNSET-ALVARADO,bus,E16710,,,LACMTA,2,2,,,USC - Westwood via Sunset Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/10/17200812/002_TT_10-23-22.pdf,https://www.metro.net/line-override/22-10-line-002/attachment/002_tt_10-23-22/,,2,Westwood,Sunset Bl,USC,Westwood to USC,USC to Westwood,0,Eastbound,Westbound,true
217-13172,217,Metro Local Line,E HOLLYWOOD - LA CIENEGA STA VIA HOLLYWOOD-FAIRFAX,bus,E16710,,,LACMTA,217,217,,,Hollywood/Vine Station - La Cienega Station via Hollywood Bl-Fairfax Av,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08190736/217_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-217/attachment/217_tt_12-11-22/,,217,La Cienega Station,"Hollywood Bl, Fairfax Av",Vermont/Sunset Station,La Cienega Station to Vermont/Sunset Station,Vermont/Sunset Station to La Cienega Station,69,Northbound,Southbound,true
218-13172,218,Metro Local Line,STUDIO CTY-CEDARS SINAI MED VIA LAUREL CYN-FAIRFAX,bus,E16710,,,LACMTA,218,218,,,Studio City - Cedars Sinai Medical Center via Laurel Canyon Bl-Fairfax Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/09/07162056/218_TT_09-12-21.pdf,https://www.metro.net/line-override/line-218/attachment/218_tt_09-12-21/,,218,Cedars Sinai Medical Center,"Laurel Canyon Bl, Fairfax Bl",Studio City,Cedars Sinai Medical Center to Studio City,Studio City to Cedars Sinai Medical Center,70,Northbound,Southbound,true
222-13172,222,Metro Local Line,BURBANK RITC- HOLLYWOOD VIA RIVERSIDE/HOLLYWOOD WY,bus,E16710,,,LACMTA,222,222,,,Lankershim/Tuxford - Burbank Airport - Hollywood via Hollywood Way & Cahuenga Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08190830/222_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-222/attachment/222_tt_12-11-22/,,222,Hollywood,"Hollywood Wy, Riverside Dr",Sun Valley,Hollywood to Sun Valley,Sun Valley to Hollywood,71,Northbound,Southbound,true
224-13172,224,Metro Local Line,SYLMAR-UNIVERSAL CTY VIA SAN FERNANDO - LANKERSHIM,bus,E16710,,,LACMTA,224,224,,,Sylmar Station - Universal City Station via San Fernando Rd & Lankershim Bl (+ Hollywood Owl service),https://cdn.beta.metro.net/wp-content/uploads/2022/12/08190940/224_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-224/attachment/224_tt_12-11-22/,,224,Universal City Station,"San Fernando Rd, Lankershim Bl",Sylmar Station,Universal City Station to Sylmar Station,Sylmar Station to Universal City Station,72,Northbound,Southbound,true
230-13172,230,Metro Local Line,SYLMAR- SAN FERNANDO- STUDIO CITY- VIA LAUREL CYN,bus,E16710,,,LACMTA,230,230,,,Sylmar Station - Studio City via Laurel Canyon Bl,https://cdn.beta.metro.net/wp-content/uploads/2022/12/08191046/230_TT_12-11-22.pdf,https://www.metro.net/line-override/22-12-line-230/attachment/230_tt_12-11-22/,,230,Studio City,Laurel Canyon Bl,Sylmar Metrolink Station,Studio City to Sylmar Metrolink Station,Sylmar Metrolink Station to Studio City,73,Northbound,Southbound,true
